Date,Open,High,Low,Close,Volume
2016-06-13,126459.15,126917.34,124168.23,124168.23,476958
2016-06-14,124168.22,126917.34,123710.04,126917.34,431039
2016-06-15,126459.15,127833.71,123710.04,124168.23,409607
2016-06-16,124168.24,124626.42,122335.5,123251.87,399199
2016-06-17,124626.42,125084.61,122335.5,123251.87,328695
2016-06-20,124626.42,126917.35,124168.24,125084.61,305307
2016-06-21,125084.6,127375.53,124168.23,126459.16,353879
2016-06-22,126917.34,129666.45,126917.34,128291.9,413267
2016-06-23,128750.08,129666.45,128291.89,129208.27,273960
2016-06-24,128750.09,130124.65,123251.87,127833.72,901574
2016-06-27,129208.28,131957.39,127833.72,129666.46,1031506
2016-06-28,129666.47,130124.65,126917.35,127375.54,570526
2016-06-29,129221.56,129221.56,126914.03,128298.55,436045
2016-06-30,127375.53,127837.03,125068.0,125068.0,2700499
2016-07-01,125991.0,127375.52,125529.5,126452.51,388387
2016-07-04,127375.52,128760.04,126452.51,126452.51,518981
2016-07-05,125991.02,126452.52,124144.99,124606.5,389267
2016-07-06,123683.49,124145.0,119068.43,119991.45,1098353
2016-07-07,121375.96,122298.97,120452.95,120914.45,351312
2016-07-08,120914.45,122760.47,119068.43,120452.95,472095
2016-07-11,120452.95,121837.46,120452.95,120914.45,395952
2016-07-12,121375.96,122760.47,120914.45,121837.46,401323
2016-07-13,122760.47,125068.0,122298.97,125068.0,567236
2016-07-14,123683.49,124144.99,120914.46,121375.96,688220
2016-07-15,121837.45,123683.47,121837.45,122760.46,608594
2016-07-18,122760.47,123683.48,120914.45,121837.46,417748
2016-07-19,121375.96,121837.47,119991.45,119991.45,630163
2016-07-20,119529.94,120914.45,119068.43,119529.94,513880
2016-07-21,119991.45,120914.46,118606.93,119991.45,459440
2016-07-22,119991.45,120452.95,119068.44,119068.44,364418
2016-07-25,119529.93,125529.51,119529.93,125068.0,1182857
2016-07-26,124606.5,128760.05,123683.49,125529.51,1125762
2016-07-27,126452.51,126914.01,124606.49,126452.51,450182
2016-07-28,126914.02,127375.53,124606.5,125529.51,451570
2016-07-29,124606.49,125529.51,121837.46,121837.46,698032
2016-08-01,122298.97,125529.51,122298.97,125068.0,510753
2016-08-02,125068.02,125068.02,122760.49,123683.5,383193
2016-08-03,122760.47,123683.48,120452.94,121837.46,393748
