,회사명,종목코드
572,태경비케이,14580
573,티웨이항공,91810
574,퍼스텍,10820
575,포스코인터내셔널,47050
576,하이골드3호,153360
577,한국ANKOR유전,152550
578,한국내화,10040
579,한국주철관공업,970
580,한국콜마,161890
581,한국화장품,123690
582,한라,14790
583,한미반도체,42700
584,한섬,20000
585,한세실업,105630
586,한솔홈데코,25750
587,한올바이오파마,9420
588,한화손해보험,370
589,핸즈코퍼레이션,143210
590,현대오토에버,307950
591,화승엔터프라이즈,241590
592,화인베스틸,133820
593,화천기계,10660
594,효성중공업,298040
595,효성첨단소재,298050
596,후성,93370
597,휠라홀딩스,81660
598,휴스틸,5010
599,BGF,27410
600,BNK금융지주,138930
601,DB하이텍,990
602,HSD엔진,82740
603,KG동부제철,16380
604,KG케미칼,1390
605,KTB투자증권,30210
606,KTcs,58850
607,LG생활건강,51900
608,SG세계물산,4060
609,SIMPAC,9160
610,SK가스,18670
611,SK디앤디,210980
612,SK렌터카,68400
613,STX엔진,77970
614,STX중공업,71970
615,TCC스틸,2710
616,가온전선,500
617,경보제약,214390
618,계양전기,12200
619,고려산업,2140
620,광전자,17900
621,국제약품,2720
622,기아자동차,270
623,넥센,5720
624,넥스트사이언스,3580
625,농심,4370
626,다우기술,23590
627,대림씨엔에스,4440
628,대성산업,128820
629,대유플러스,300
630,대한전선,1440
631,대한제분,1130
632,대한항공,3490
633,대한화섬,3830
634,동남합성,23450
635,동방,4140
636,동아타이어,282690
637,동양피스톤,92780
638,동원시스템즈,14820
639,두산밥캣,241560
640,디와이파워,210540
641,롯데리츠,330590
642,메리츠금융지주,138040
643,무림P&P,9580
644,미원상사,2840
645,방림,3610
646,보령제약,3850
647,사조오양,6090
648,삼아알미늄,6110
649,삼양사,145990
650,삼호개발,10960
651,삼화전자공업,11230
652,삼화페인트공업,390
653,새론오토모티브,75180
654,성문전자,14910
655,세아베스틸,1430
656,세아제강지주,3030
657,쌍방울,102280
658,쌍용양회공업,3410
659,씨에스윈드,112610
660,아남전자,8700
661,아세아제지,2310
662,애경유화,161000
663,에쓰씨엔지니어링,23960
664,에어부산,298690
665,엔케이물산,9810
666,영원무역,111770
667,영흥,12160
668,오리엔트바이오,2630
669,오리온홀딩스,1800
670,용평리조트,70960
671,웅진,16880
672,원림,5820
673,유니퀘스트,77500
674,이엔플러스,74610
675,일동제약,249420
676,일신석재,7110
677,일양약품,7570
678,주연테크,44380
679,지코,10580
680,진양산업,3780
681,케이비아이동국실업,1620
682,케이씨,29460
683,케이티스카이라이프,53210
684,코오롱,2020
685,키움증권,39490
686,티웨이홀딩스,4870
687,파미셀,5690
688,평화홀딩스,10770
689,풀무원,17810
690,하이트진로홀딩스,140
691,한국단자공업,25540
692,한국조선해양,9540
693,한국카본,17960
694,한농화성,11500
695,한신공영,4960
696,한익스프레스,14130
697,한전기술,52690
698,한화투자증권,3530
699,현대글로비스,86280
700,형지엘리트,93240
701,화승알앤에이,13520
702,효성티앤씨,298020
703,BYC,1460
704,HMM,11200
705,JB금융지주,175330
706,LS네트웍스,680
707,SK,34730
708,SK케미칼,285130
709,강남제비스코,860
710,경동나비엔,9450
711,광명전기,17040
712,그린케미칼,83420
713,금호석유화학,11780
714,깨끗한나라,4540
715,남광토건,1260
716,노루홀딩스,320
717,대동공업,490
718,대상홀딩스,84690
719,대성에너지,117580
720,대우부품,9320
721,대창단조,15230
722,도화엔지니어링,2150
723,동성화학,5190
724,동아에스티,170900
725,동아지질,28100
726,동양물산기업,2900
727,동일고무벨트,163560
728,동일산업,4890
729,동일제강,2690
730,두올,16740
731,롯데푸드,2270
732,롯데하이마트,71840
733,모나리자,12690
734,무림페이퍼,9200
735,미래산업,25560
736,미래에셋대우,6800
737,보해양조,890
738,삼화콘덴서공업,1820
739,상신브레이크,41650
740,서울도시가스,17390
741,성안,11300
742,신대양제지,16590
743,신흥,4080
744,쎌마테라퓨틱스,15540
745,에스케이바이오팜,326030
746,에이프로젠제약,3060
747,영풍제지,6740
748,우리들제약,4720
749,우리종금,10050
750,우진아이엔에스,10400
751,웅진씽크빅,95720
752,유수홀딩스,700
753,유엔젤,72130
754,율촌화학,8730
755,이노션,214320
756,이화산업,760
757,인팩,23810
758,일신방직,3200
759,일진디스플,20760
760,제주은행,6220
761,제주항공,89590
762,종근당,185750
763,진양홀딩스,100250
764,천일고속,650
765,체시스,33250
766,카프로,6380
767,컨버즈,109070
768,케이티앤지,33780
769,코스맥스,192820
770,태영건설,9410
771,폴루스바이오팜,7630
772,풍산,103140
773,하나금융지주,86790
774,한국가스공사,36460
775,한국전력공사,15760
776,한국항공우주,47810
777,한성기업,3680
778,한세예스24홀딩스,16450
779,한일홀딩스,3300
780,한전산업,130660
781,한창,5110
782,현대그린푸드,5440
783,현대로템,64350
784,현대미포조선,10620
785,현대백화점,69960
786,현대약품,4310
787,현대종합상사,11760
788,화신,10690
789,휴켐스,69260
790,흥국화재,540
791,CJ프레시웨이,51500
792,EDGC,245620
793,GH신소재,130500
794,GST,83450
795,GS홈쇼핑,28150
796,IBKS제13호스팩,351340
797,ITX엠투엠,99520
798,JW신약,67290
799,KB오토시스,24120
800,KG모빌리언스,46440
801,KH바텍,60720
802,SK5호스팩,337450
803,SK6호스팩,340350
804,THE E&M,89230
805,TJ미디어,32540
806,YW,51390
807,갤럭시아컴즈,94480
808,경남바이오파마,44480
809,경창산업,24910
810,고려시멘트,198440
811,골프존,215000
812,교보8호스팩,307280
813,국순당,43650
814,그리티,204020
815,나노브릭,286750
816,나스미디어,89600
817,네오티스,85910
818,네이처셀,7390
819,녹십자셀,31390
820,뉴인텍,12340
821,뉴프렉스,85670
822,대봉엘에스,78140
823,대유에이피,290120
824,대주산업,3310
825,대한약품,23910
826,동구바이오제약,6620
827,동방선기,99410
828,디에이피,66900
829,디엔에이링크,127120
830,디엔에프,92070
831,디오,39840
832,디지틀조선,33130
833,디케이앤디,263020
834,디케이티,290550
835,라이트론,69540
836,루미마이크로,82800
837,룽투코리아,60240
838,링크제니시스,219420
839,마이크로텍,227950
840,매일홀딩스,5990
841,메디톡스,86900
842,메이슨캐피탈,21880
843,메탈라이프,327260
844,모비스,250060
845,모트렉스,118990
846,미래SCI,28040
847,미스터블루,207760
848,바디텍메드,206640
849,바이넥스,53030
850,삼보판지,23600
851,삼본전자,111870
852,삼아제약,9300
853,상지카일룸,42940
854,서암기계공업,100660
855,성창오토텍,80470
856,세보엠이씨,11560
857,세종메디칼,258830
858,세코닉스,53450
859,셀루메드,49180
860,셀바스헬스케어,208370
861,스페코,13810
862,승일,49830
863,심텍,222800
864,싸이토젠,217330
865,쌍용정보통신,10280
866,씨에스베어링,297090
867,씨유메디칼,115480
868,씨케이에이치,900120
869,아나패스,123860
870,아바텍,149950
871,아이센스,99190
872,아이씨디,40910
873,아이씨케이,68940
874,아이원스,114810
875,아이즈비전,31310
876,아이티센,124500
877,알리코제약,260660
878,알에프텍,61040
879,알테오젠,196170
880,에스아이리소스,65420
881,에스코넥,96630
882,에쎈테크,43340
883,에이루트,96690
884,에이티넘인베스트,21080
885,에코프로비엠,247540
886,엑세스바이오,950130
887,엑시콘,92870
888,엔터메이트,206400
889,엔피케이,48830
890,엘앤케이바이오,156100
891,엠게임,58630
892,엠벤처투자,19590
893,엠씨넥스,97520
894,영화테크,265560
895,오공,45060
896,오픈베이스,49480
897,옵티시스,109080
898,와이지-원,19210
899,우리바이오,82850
900,원익QnC,74600
901,원익큐브,14190
902,원풍물산,8290
903,웨이브일렉트로,95270
904,웰크론,65950
905,위지트,36090
906,유니온커뮤니티,203450
907,유니테크노,241690
908,유비쿼스홀딩스,78070
909,유신,54930
910,유안타제5호스팩,336060
911,유진스팩5호,331380
912,유테크,178780
913,유티아이,179900
914,이스트소프트,47560
915,이엠넷,123570
916,이지웰,90850
917,인베니아,79950
918,인텍플러스,64290
919,자비스,254120
920,자이글,234920
921,정상제이엘에스,40420
922,제놀루션,225220
923,제우스,79370
924,제이엠티,94970
925,제이웨이,58420
926,제일제강,23440
927,제주반도체,80220
928,젬백스,82270
929,조아제약,34940
930,주성엔지니어링,36930
931,지엔씨에너지,119850
932,지엔코,65060
933,캐스텍코리아,71850
934,케이비제20호스팩,342550
935,케이피엠테크,42040
936,케이피티유,54410
937,켄코아에어로스페이스,274090
938,코렌,78650
939,코스온,69110
940,코윈테크,282880
941,코프라,126600
942,키네마스터,139670
943,토탈소프트,45340
944,투비소프트,79970
945,트루윈,105550
946,특수건설,26150
947,티앤알바이오팹,246710
948,티에스이,131290
949,파세코,37070
950,파커스,65690
951,판타지오,32800
952,패션플랫폼,225590
953,푸드웰,5670
954,프럼파스트,35200
955,프로스테믹스,203690
956,피델릭스,32580
957,피에스엠씨,24850
958,하나금융15호스팩,341160
959,하이즈항공,221840
960,한국맥널티,222980
961,한국코퍼레이션,50540
962,한양디지텍,78350
963,한일진공,123840
964,한일화학,7770
965,해덕파워웨이,102210
966,해마로푸드서비스,220630
967,화성밸브,39610
968,휴맥스,115160
969,APS홀딩스,54620
970,CJ ENM,35760
971,CMG제약,58820
972,CS,65770
973,CSA 코스믹,83660
974,EG,37370
975,HRS,36640
976,MP그룹,65150
977,NICE평가정보,30190
978,PI첨단소재,178920
979,PN풍년,24940
980,SCI평가정보,36120
981,SM C&C,48550
982,감마누,192410
983,강스템바이오텍,217730
984,게임빌,63080
985,경남제약헬스케어,223310
986,광림,14200
987,국영지앤엠,6050
988,나노엔텍,39860
989,나이벡,138610
990,남화토건,91590
991,네오팜,92730
992,넥스턴,89140
993,넵튠,217270
994,노바렉스,194700
995,누리텔레콤,40160
996,뉴파워프라즈마,144960
997,대성파인텍,104040
998,대아티아이,45390
999,대주전자재료,78600
1000,대창솔루션,96350
1001,덕산네오룩스,213420
1002,데브시스터즈,194480
1003,동아엘텍,88130
1004,디알텍,214680
1005,디엠티,134580
1006,딜리,131180
1007,라이브플렉스,50120
1008,럭슬,33600
1009,레드캡투어,38390
1010,레이언스,228850
1011,로보로보,215100
1012,머큐리,100590
1013,메디앙스,14100
1014,메디포럼제약,47920
