,회사명,종목코드
759,계양전기,12200
760,광명전기,17040
761,그린케미칼,83420
762,금호에이치티,214330
763,기업은행,24110
764,깨끗한나라,4540
765,넷마블,251270
766,노루홀딩스,320
767,다스코,58730
768,대동,490
769,대상홀딩스,84690
770,대웅,3090
771,대창단조,15230
772,대현,16090
773,동부건설,5960
774,동아쏘시오홀딩스,640
775,동일고무벨트,163560
776,동일산업,4890
777,두산로보틱스,454910
778,두올,16740
779,드림텍,192650
780,디씨엠,24090
781,롯데손해보험,400
782,롯데쇼핑,23530
783,무림페이퍼,9200
784,문배철강,8420
785,보령,3850
786,보해양조,890
787,삼성FN리츠,448730
788,삼성SDI,6400
789,삼성전기,9150
790,삼성중공업,10140
791,삼양식품,3230
792,삼화콘덴서공업,1820
793,상신브레이크,41650
794,서울도시가스,17390
795,선도전기,7610
796,세기상사,2420
797,세방전지,4490
798,수산인더스트리,126720
799,신흥,4080
800,씨티알모빌리티,308170
801,아시아나항공,20560
802,에스원,12750
803,엔케이,85310
804,우진아이엔에스,10400
805,웅진씽크빅,95720
806,유수홀딩스,700
807,유엔젤,72130
808,유유제약,220
809,율촌화학,8730
810,이수화학,5950
811,이지스레지던스리츠,350520
812,이화산업,760
813,일성신약,3120
814,일신방직,3200
815,일양약품,7570
816,일진디스플,20760
817,잇츠한불,226320
818,전방,950
819,제주항공,89590
820,조일알미늄,18470
821,지누스,13890
822,진원생명과학,11000
823,진흥기업,2780
824,천일고속,650
825,케이티앤지,33780
826,코스맥스비티아이,44820
827,쿠쿠홈시스,284740
828,테이팩스,55490
829,평화홀딩스,10770
830,포스코스틸리온,58430
831,풍산,103140
832,하나금융지주,86790
833,하이브,352820
834,한국내화,10040
835,한국석유공업,4090
836,한국쉘석유,2960
837,한국특강,7280
838,한성기업,3680
839,한세실업,105630
840,한세예스24홀딩스,16450
841,한솔피엔에스,10420
842,한익스프레스,14130
843,현대그린푸드,453340
844,현대위아,11210
845,현대코퍼레이션,11760
846,현대코퍼레이션홀딩스,227840
847,현대홈쇼핑,57050
848,화신,10690
849,효성첨단소재,298050
850,흥아해운,3280
851,CJ 바이오사이언스,311690
852,DH오토웨어,25440
853,KB오토시스,24120
854,KD,44180
855,KH바텍,60720
856,LB루셈,376190
857,RFHIC,218410
858,SK증권제8호스팩,435870
859,TJ미디어,32540
860,감성코퍼레이션,36620
861,강스템바이오텍,217730
862,골프존,215000
863,광무,29480
864,광진실업,26910
865,교보13호스팩,440790
866,그리티,204020
867,그린플러스,186230
868,글로본,19660
869,기가레인,49080
870,나노브릭,286750
871,네오크레마,311390
872,네오티스,85910
873,넥스턴바이오,89140
874,농우바이오,54050
875,뉴파워프라즈마,144960
876,다날,64260
877,다보링크,340360
878,다우데이타,32190
879,대봉엘에스,78140
880,대신밸런스제13호스팩,438220
881,대신밸런스제15호스팩,457390
882,대유에이피,290120
883,대한과학,131220
884,대호특수강,21040
885,더블유씨피,393890
886,더코디,224060
887,동구바이오제약,6620
888,동방선기,99410
889,동양파일,228340
890,드림시큐리티,203650
891,디에이피,66900
892,디와이디,219550
893,디지틀조선,33130
894,디티앤씨알오,383930
895,라온텍,418420
896,라이콤,388790
897,리드코프,12700
898,링크제니시스,219420
899,메디프론,65650
900,메쎄이상,408920
901,미래나노텍,95500
902,미코바이오메드,214610
903,바이넥스,53030
904,바이오에프디엔씨,251120
905,바이오인프라,199730
906,베뉴지,19010
907,베셀,177350
908,브랜드엑스코퍼레이션,337930
909,브이씨,365900
910,브이티,18290
911,비덴트,121800
912,비씨엔씨,146320
913,비아이매트릭스,413640
914,삼기,122350
915,삼보판지,23600
916,삼양옵틱스,225190
917,삼영엠텍,54540
918,샘씨엔에스,252990
919,세아메카닉스,396300
920,셀루메드,49180
921,셀바스헬스케어,208370
922,소니드,60230
923,솔트웨어,328380
924,슈피겐코리아,192440
925,스카이문스테크놀로지,33790
926,스타플렉스,115570
927,스톤브릿지벤처스,330730
928,스튜디오미르,408900
929,스페코,13810
930,스피어파워,203690
931,신영스팩8호,430220
932,신한제9호스팩,405640
933,씨엔플러스,115530
934,씨유메디칼,115480
935,씨젠,96530
936,씨티프라퍼티,52300
937,아스타,246720
938,아시아경제,127710
939,아이비김영,339950
940,아이윈,90150
941,아이컴포넌트,59100
942,아이티센,124500
943,아이티아이즈,372800
944,알에프텍,61040
945,알체라,347860
946,애니플러스,310200
947,앤디포스,238090
948,앱클론,174900
949,에스디생명공학,217480
950,에스앤에스텍,101490
951,에스에너지,95910
952,에스에이티이엔지,351320
953,에스에프에이,56190
954,에스엘에스바이오,246250
955,에스엠,41510
956,에스엠코어,7820
957,에쎈테크,43340
958,에이디엠코리아,187660
959,에이디테크놀로지,200710
960,에이스토리,241840
961,에이텀,355690
962,에이텍,45660
963,에이티넘인베스트,21080
964,에이프릴바이오,397030
965,엑사이엔씨,54940
966,엑세스바이오,950130
967,엔바이오니아,317870
968,엔에이치스팩25호,438580
969,엠게임,58630
970,엠로,58970
971,엠아이큐브솔루션,373170
972,엠투엔,33310
973,영화테크,265560
974,예스티,122640
975,오디텍,80520
976,오성첨단소재,52420
977,오픈베이스,49480
978,올리패스,244460
979,옵티시스,109080
980,옵티팜,153710
981,와이바이오로직스,338840
982,원준,382840
983,원텍,336570
984,웨이버스,336060
985,웨이브일렉트로,95270
986,웰크론,65950
987,웰킵스하이텍,43590
988,윈하이텍,192390
989,유니온커뮤니티,203450
990,유니테스트,86390
991,유니테크노,241690
992,유비온,84440
993,유성티엔에스,24800
994,유신,54930
995,유안타제12호스팩,446150
996,유안타제14호스팩,450940
997,유티아이,179900
998,이랜텍,54210
999,이삭엔지니어링,351330
1000,이엠넷,123570
1001,이화전기,24810
1002,인성정보,33230
1003,인지소프트,100030
1004,인텍플러스,64290
1005,인포바인,115310
1006,자람테크놀로지,389020
1007,자비스,254120
1008,자연과환경,43910
1009,정상제이엘에스,40420
1010,제우스,79370
1011,제이씨케미칼,137950
1012,제이씨현시스템,33320
1013,제이엠티,94970
1014,제주반도체,80220
1015,조아제약,34940
1016,주성엔지니어링,36930
1017,지니언스,263860
1018,지란지교시큐리티,208350
1019,지아이텍,382480
1020,지엔씨에너지,119850
1021,청담글로벌,362320
1022,캐스텍코리아,71850
1023,캡스톤파트너스,452300
1024,케스피온,79190
1025,케이피엠테크,42040
1026,케이피티유,54410
1027,켄코아에어로스페이스,274090
1028,코다코,46070
1029,코스나인,82660
1030,코오롱티슈진,950160
1031,코퍼스코리아,322780
1032,쿠콘,294570
1033,퀀타피아,78940
1034,큐라티스,348080
1035,클리오,237880
1036,탑머티리얼,360070
1037,탑엔지니어링,65130
1038,텔콘RF제약,200230
1039,토마토시스템,393210
1040,토탈소프트,45340
1041,트루윈,105550
1042,트윔,290090
1043,특수건설,26150
1044,티앤알바이오팹,246710
1045,티에스넥스젠,43220
1046,티에프이,425420
1047,티엔엔터테인먼트,131100
1048,티엘아이,62860
1049,파라텍,33540
1050,파커스,65690
1051,패션플랫폼,225590
1052,팬스타엔터프라이즈,54300
1053,포커스에이치엔에스,331380
1054,폴라리스우노,114630
1055,푸드웰,5670
1056,풍원정밀,371950
1057,프롬바이오,377220
1058,피에스케이,319660
1059,피에스케이홀딩스,31980
1060,피제이전자,6140
1061,핑거스토리,417180
1062,하이딥,365590
1063,하이로닉,149980
1064,하이즈항공,221840
1065,한국경제TV,39340
1066,한국맥널티,222980
1067,한국정보통신,25770
1068,한독크린텍,256150
1069,한성크린텍,66980
1070,한솔인티큐브,70590
1071,한양디지텍,78350
